variable,tipo,descripción
ocid,string,Identificador único del proceso (OCDS)
release_id,string,Identificador del release
fecha,timestamp,Fecha de publicación del release
anio / mes / periodo / trimestre,int/string,Derivados de fecha — eje temporal
dia_semana,string,Día de la semana de publicación
entidad,string,"Entidad contratante, normalizada a mayúsculas"
comprador_id,string,Identificador del comprador
region,string,Región de la entidad (de parties[].address)
codigo_proceso,string,Nomenclatura SEACE del proceso (NO es descriptivo)
descripcion,string,Objeto real de la contratación (~200 car.) — shingling (Parte II)
fecha_fuente,string,De qué campo OCDS se tomó la fecha
estado_proceso,string,"Estado del tender: complete, active, cancelled, unsuccessful"
metodo / metodo_detalle,string,"Método de contratación (Licitación, Adjudicación Simplificada, ...)"
categoria,string,goods / works / services
monto_referencial,double,Valor referencial del tender
monto_adjudicado,double,Suma de las adjudicaciones — NULL si no hubo
monto_contratado,double,Suma de los contratos — NULL si no hubo
monto_final,double,Cascada: adjudicado → contratado → referencial
tramo_monto,string,Discretización del monto — eje de P1 e ítem de canasta (Parte V)
moneda_referencial / moneda_adjudicada,string,Divisa declarada
n_postores,int,numberOfTenderers — variable central de P1
postor_unico,int,1 si n_postores = 1
n_adjudicaciones / n_contratos,int,Conteos de arrays OCDS
fue_adjudicado,int,1 si el proceso llegó a adjudicarse
ratio_adjudicado,double,monto_adjudicado / monto_referencial
proveedor,string,Primer proveedor adjudicado — eje de P2
dias_convocatoria,int,Duración del periodo de convocatoria
unspsc_set,array<string>,Códigos UNSPSC (8 díg.) de additionalClassifications
unspsc_familia,array<string>,Prefijo de 4 díg. — granularidad usable en Jaccard (Parte II)
unspsc_segmento,array<string>,Prefijo de 2 díg. — máxima agregación
cubso_set,array<string>,Códigos CUBSO (16 díg.) — demasiado específicos para similitud
n_items,int,N° de ítems del requerimiento
n_unspsc,int,Tamaño de unspsc_set
monto_valido / moneda_homogenea / fecha_en_rango / ratio_sospechoso,int,Banderas de calidad
