variable,n_nulos,pct_nulos,pct_completitud
estado_proceso,79332,100.0,0.0
metodo,32788,41.33,58.67
n_contratos,23377,29.47,70.53
monto_contratado,23377,29.47,70.53
ratio_adjudicado,18801,23.7,76.3
proveedor,17831,22.48,77.52
n_adjudicaciones,17790,22.42,77.58
moneda_adjudicada,17790,22.42,77.58
monto_adjudicado,17790,22.42,77.58
fue_adjudicado,17790,22.42,77.58
dias_convocatoria,4885,6.16,93.84
convocatoria_fin,4885,6.16,93.84
convocatoria_inicio,4885,6.16,93.84
postor_unico,4855,6.12,93.88
n_postores,4855,6.12,93.88
tender_id,0,0.0,100.0
codigo_proceso,0,0.0,100.0
fecha,0,0.0,100.0
release_id,0,0.0,100.0
ocid,0,0.0,100.0
region,0,0.0,100.0
entidad,0,0.0,100.0
comprador_id,0,0.0,100.0
tipo_inicio,0,0.0,100.0
fecha_fuente,0,0.0,100.0
moneda_referencial,0,0.0,100.0
metodo_detalle,0,0.0,100.0
categoria,0,0.0,100.0
monto_referencial,0,0.0,100.0
descripcion,0,0.0,100.0
mes,0,0.0,100.0
cubso_set,0,0.0,100.0
anio,0,0.0,100.0
n_items,0,0.0,100.0
dia_semana,0,0.0,100.0
trimestre,0,0.0,100.0
periodo,0,0.0,100.0
monto_final,0,0.0,100.0
n_unspsc,0,0.0,100.0
unspsc_familia,0,0.0,100.0
unspsc_segmento,0,0.0,100.0
tramo_monto,0,0.0,100.0
