metodo_detalle,frecuencia,pct
ADJUDICACIÓN SIMPLIFICADA,15727,19.82
LICITACIÓN PÚBLICA ABREVIADA,15719,19.81
CONCURSO PÚBLICO ABREVIADO,13648,17.2
SUBASTA INVERSA ELECTRÓNICA,8613,10.86
COMPARACIÓN DE PRECIOS,5447,6.87
LICITACIÓN PÚBLICA,4888,6.16
CONTRATACIÓN DIRECTA,4402,5.55
CONCURSO PÚBLICO DE SERVICIOS,2413,3.04
REGÍMEN ESPECIAL,2139,2.7
CONVENIO,1701,2.14
CONCURSO PÚBLICO,1232,1.55
CONTRATACIÓN INTERNACIONAL,1088,1.37
CONCURSO PÚBLICO PARA CONSULTORÍA,941,1.19
ADJUDICACIÓN ABREVIADA,479,0.6
ADJUDICACIÓN SELECTIVA,332,0.42
ADJUDICACIÓN SIMPLIFICADA-HOMOLOGACIÓN,234,0.29
PROCEDIMIENTO ESPECIAL DE CONTRATACIÓN,101,0.13
CONCURSO PÚBLICO ABREVIADO HOMOLOGACIÓN,65,0.08
PROCEDIMIENTO ESPECIAL DE CONTRATACIÓN-NUEVA CONVOCATORIA POR DESIERTO,48,0.06
LICITACIÓN PÚBLICA ABREVIADA HOMOLOGACIÓN,44,0.06
CONCURSO PÚBLICO ABREVIADO SÉPTIMA DCF LEY N°32069,11,0.01
LICITACIÓN PÚBLICA ABREVIADA - LEY N°31589,11,0.01
CONTRATOS ESTANDARIZADOS,10,0.01
LICITACIÓN PÚBLICA ABREVIADA - LEY N°26859,9,0.01
CONCURSO PÚBLICO ABREVIADO - LEY N°26859,9,0.01
ADJUDICACIÓN PARA CONTRATO MARCO,7,0.01
LICITACIÓN PÚBLICA ABREVIADA SÉPTIMA DCF LEY N°32069,4,0.01
SELECCIÓN DE CONSULTORES INDIVIDUALES,3,0.0
PROCESO POR COMPETENCIA,3,0.0
CONCURSO PÚBLICO ABREVIADO - LEY N°31589,3,0.0
ADJUDICACIÓN SIMPLIFICADA - SÉPTIMA DISPOSICIÓN COMPLEMENTARIA FINAL REG. LEY 30225,1,0.0
