region,frecuencia,pct
LIMA,21825,27.51
AREQUIPA,2425,3.06
CUSCO,2318,2.92
HUAMANGA,2119,2.67
PUNO,2006,2.53
LA CONVENCION,1771,2.23
HUANCAYO,1673,2.11
TRUJILLO,1542,1.94
CALLAO,1470,1.85
HUANUCO,1265,1.59
ABANCAY,1170,1.47
CORONEL PORTILLO,1108,1.4
MARISCAL NIETO,1102,1.39
PIURA,1063,1.34
CHICLAYO,1052,1.33
HUARI,1050,1.32
TACNA,968,1.22
HUARAZ,950,1.2
SANTA,887,1.12
PASCO,861,1.09
MAYNAS,857,1.08
CAJAMARCA,710,0.89
HUANCAVELICA,654,0.82
MOYOBAMBA,621,0.78
COTABAMBAS,612,0.77
ICA,606,0.76
HUAURA,564,0.71
SATIPO,528,0.67
TAMBOPATA,527,0.66
ANDAHUAYLAS,501,0.63
CHACHAPOYAS,481,0.61
JAEN,472,0.59
NAZCA,414,0.52
SAN ROMAN,412,0.52
CHUMBIVILCAS,392,0.49
JORGE BASADRE,381,0.48
CAÑETE,380,0.48
TAYACAJA,376,0.47
CHOTA,371,0.47
ESPINAR,364,0.46
TUMBES,363,0.46
CUTERVO,357,0.45
ILO,347,0.44
SAN MARTIN,345,0.43
CHINCHA,320,0.4
LA MAR,318,0.4
CHANCHAMAYO,310,0.39
CHINCHEROS,287,0.36
QUISPICANCHI,285,0.36
SANCHEZ CARRION,285,0.36
ALTO AMAZONAS,265,0.33
MORROPON,263,0.33
SULLANA,261,0.33
PATAZ,259,0.33
LAMBAYEQUE,257,0.32
CARABAYA,253,0.32
PISCO,250,0.32
MELGAR,238,0.3
JAUJA,237,0.3
CALCA,234,0.29
LEONCIO PRADO,231,0.29
CANCHIS,231,0.29
SAN IGNACIO,225,0.28
AZANGARO,218,0.27
HUARAL,216,0.27
OXAPAMPA,214,0.27
AYABACA,212,0.27
CELENDIN,209,0.26
BAGUA,205,0.26
CAYLLOMA,201,0.25
CONCEPCION,198,0.25
PADRE ABAD,195,0.25
ANGARAES,192,0.24
PAUCARTAMBO,192,0.24
ATALAYA,190,0.24
SANTIAGO DE CHUCO,188,0.24
REQUENA,186,0.23
HUANTA,180,0.23
URUBAMBA,176,0.22
BARRANCA,173,0.22
CHUCUITO,173,0.22
TOCACHE,171,0.22
PACHITEA,166,0.21
SAN MIGUEL,165,0.21
TARMA,163,0.21
HUALGAYOC,162,0.2
OTUZCO,160,0.2
CARHUAZ,156,0.2
HUANCABAMBA,152,0.19
PAITA,145,0.18
ANTA,143,0.18
YAULI,143,0.18
SECHURA,139,0.18
CAJABAMBA,138,0.17
AMBO,137,0.17
TALARA,137,0.17
DATEM DEL MARAÑON,134,0.17
ACOBAMBA,134,0.17
ISLAY,133,0.17
CHURCAMPA,133,0.17
HUAMALIES,133,0.17
RECUAY,132,0.17
AYMARAES,132,0.17
PAUCAR DEL SARA SARA,132,0.17
LUCANAS,131,0.17
HUAROCHIRI,129,0.16
UTCUBAMBA,129,0.16
RIOJA,128,0.16
YUNGAY,127,0.16
LORETO,127,0.16
CANAS,126,0.16
LAMAS,121,0.15
HUAYLAS,121,0.15
SANDIA,121,0.15
SIHUAS,121,0.15
HUAYTARA,120,0.15
CANGALLO,116,0.15
PUERTO INCA,114,0.14
UCAYALI,114,0.14
MARISCAL CACERES,113,0.14
ASCOPE,113,0.14
PARURO,111,0.14
GRAU,108,0.14
LUYA,108,0.14
YAUYOS,105,0.13
VICTOR FAJARDO,105,0.13
GENERAL SANCHEZ CERRO,103,0.13
CHUPACA,102,0.13
CARAVELI,102,0.13
LAMPA,102,0.13
DANIEL ALCIDES CARRION,101,0.13
SANTA CRUZ,100,0.13
HUANCANE,100,0.13
CONTUMAZA,99,0.12
CASTROVIRREYNA,98,0.12
CASMA,97,0.12
LAURICOCHA,96,0.12
VIRU,95,0.12
PALLASCA,91,0.11
CONDORCANQUI,91,0.11
ACOMAYO,88,0.11
POMABAMBA,86,0.11
SAN MARCOS,85,0.11
BOLOGNESI,84,0.11
YAROWILCA,84,0.11
RODRIGUEZ DE MENDOZA,84,0.11
DOS DE MAYO,83,0.1
JULCAN,82,0.1
CARLOS FERMIN FITZCARRALD,79,0.1
MARISCAL LUZURIAGA,79,0.1
MARAÑON,77,0.1
FERREÑAFE,77,0.1
OCROS,75,0.09
CAMANA,74,0.09
SAN ANTONIO DE PUTINA,74,0.09
PACASMAYO,72,0.09
EL COLLAO,72,0.09
CONDESUYOS,72,0.09
VILCAS HUAMAN,71,0.09
BONGARA,68,0.09
SAN PABLO,66,0.08
ANTONIO RAYMONDI,66,0.08
CHEPEN,65,0.08
SUCRE,65,0.08
HUANCA SANCOS,65,0.08
YUNGUYO,62,0.08
BELLAVISTA,61,0.08
HUARMEY,61,0.08
CASTILLA,60,0.08
HUACAYBAMBA,56,0.07
PARINACOCHAS,55,0.07
JUNIN,53,0.07
HUALLAGA,52,0.07
CORONGO,50,0.06
EL DORADO,48,0.06
AIJA,48,0.06
ZARUMILLA,47,0.06
MARISCAL RAMON CASTILLA,46,0.06
TAHUAMANU,45,0.06
GRAN CHIMU,44,0.06
ASUNCION,44,0.06
PICOTA,42,0.05
ANTABAMBA,42,0.05
PALPA,42,0.05
MANU,41,0.05
MOHO,40,0.05
LA UNION,40,0.05
CONTRALMIRANTE VILLAR,37,0.05
BOLIVAR,36,0.05
CANTA,34,0.04
PURUS,30,0.04
OYON,27,0.03
CAJATAMBO,25,0.03
CANDARAVE,24,0.03
PUTUMAYO,18,0.02
TARATA,17,0.02
