entidad,n_procesos,monto_total,monto_promedio,pct_postor_unico
UNIDAD EJECUTORA 125 PROGRAMA NACIONAL DE INVERSIONES EN SALUD,73,6646054957.34,91041848.73,10.53
MTC-PROYECTO ESPECIAL DE INFRAESTRUCTURA DE TRANSPORTE NACIONAL (PROVIAS NACIONAL),345,4012090118.88,11629246.72,21.81
MTC-PROYECTO ESPECIAL DE INFRAESTRUCTURA DE TRANSPORTE DESCENTRALIZADO - PROVIAS DESCENTRALIZADO,172,3680062643.84,21395713.05,11.32
SEGURO SOCIAL DE  SALUD,1226,3426465499.6,2794833.2,10.92
AUTORIDAD NACIONAL DE INFRAESTRUCTURA,55,3408736826.78,61977033.21,13.21
FONDO METROPOLITANO DE INVERSIONES,98,3144861122.62,32090419.62,5.56
GOBIERNO REGIONAL DE JUNIN SEDE CENTRAL,578,2977416761.64,5151240.07,2.05
GOBIERNO REGIONAL DE LORETO - ORGANISMO PUBLICO INFRAESTRUCTURA PARA LA PRODUCTIVIDAD,9,2084530476.05,231614497.34,11.11
GOBIERNO REGIONAL DE PASCO SEDE CENTRAL,327,1900682057.05,5812483.35,1.68
MINISTERIO DE JUSTICIA Y DERECHOS HUMANOS,35,1796034146.27,51315261.32,65.63
GOBIERNO REGIONAL DE PUNO SEDE CENTRAL,1066,1795200750.08,1684053.24,0.39
GOBIERNO REGIONAL DE PIURA SEDE CENTRAL,182,1701969443.46,9351480.46,5.92
GOBIERNO REGIONAL DE LA LIBERTAD SEDE CENTRAL,306,1653757178.36,5404435.22,26.96
SERVICIO DE AGUA POTABLE Y ALCANTARILLADO DE LIMA - SEDAPAL,171,1314793069.62,7688848.36,7.14
UNIVERSIDAD NACIONAL SAN ANTONIO DE ABAD DEL CUSCO,104,1229963437.62,11826571.52,4.3
PROGRAMA AGUA SEGURA PARA LIMA Y CALLAO,27,1193006061.9,44185409.7,16.67
DIRECCION DE ECONOMIA Y FINANZAS DE LA POLICIA NACIONAL DEL PERU - PNP,74,1186635935.49,16035620.75,6.85
CENTRO NACIONAL DE ABASTECIMIENTO DE RECURSOS ESTRATEGICOS EN SALUD,269,1139243352.64,4235105.4,30.19
DIRECCION GENERAL DE ELECTRIFICACION RURAL DEL MINISTERIO DE ENERGÍA Y MINAS,67,1101400778.51,16438817.59,0.0
PETROLEOS DEL PERU S.A.,543,1066714481.56,1964483.39,55.34
GOBIERNO REGIONAL DE AREQUIPA SEDE CENTRAL,370,1053213527.62,2846523.05,14.76
MUNICIPALIDAD DISTRITAL DE MARCONA,162,1045340734.85,6452720.59,1.31
GOBIERNO REGIONAL DE LAMBAYEQUE SEDE CENTRAL,181,1003323756.94,5543225.18,0.59
GOBIERNO REGIONAL DE ANCASH - SEDE CENTRAL,193,991838015.83,5139057.08,1.66
GOBIERNO REGIONAL DE HUANCAVELICA SEDE CENTRAL,154,896429827.5,5820972.91,2.01
GOBIERNO REGIONAL DE UCAYALI SEDE CENTRAL,258,894439999.15,3466821.7,3.31
GOBIERNO REGIONAL DE AMAZONAS SEDE CENTRAL,133,870509520.22,6545184.36,9.4
SUPERINTENDENCIA NACIONAL DE ADUANAS Y DE ADMINISTRACION TRIBUTARIA - SUNAT,308,852787567.37,2768790.8,8.52
GOBIERNO REGIONAL DE HUANUCO SEDE CENTRAL,480,796149818.21,1658645.45,3.65
MUNICIPALIDAD DISTRITAL DE SAN MARCOS,424,769046946.35,1813789.97,1.0
MINISTERIO DE TRANSPORTES Y COMUNICACIONES,89,764153418.89,8585993.47,21.18
GOBIERNO REGIONAL DE AYACUCHO SEDE CENTRAL,1080,747713128.5,692326.97,0.38
GOBIERNO REGIONAL DE LIMA SEDE CENTRAL,262,657626090.42,2510023.25,0.39
EMPRESA MUNICIPAL ADMINISTRADORA DE PEAJE DE LIMA S.A.,40,655873579.17,16396839.48,35.9
MUNICIPALIDAD PROVINCIAL DE REQUENA,69,614373683.41,8903966.43,1.56
MUNICIPALIDAD METROPOLITANA DE LIMA,144,614017616.56,4264011.23,15.22
MUNICIPALIDAD PROVINCIAL DE PIURA,112,596911558.55,5329567.49,2.83
MUNICIPALIDAD DISTRITAL DE CORONEL GREGORIO ALBARRACIN LANCHIPA,140,583370742.14,4166933.87,0.0
INPE-OFICINA GENERAL DE INFRAESTRUCTURA,21,539443966.65,25687807.94,23.81
PODER JUDICIAL,109,533828246.56,4897506.85,12.84
