periodo,n_procesos,monto_total,monto_promedio,monto_mediano,postores_promedio,pct_postor_unico
2025-01,1235,5538577827.05,4484678.4,225528.24,13.96,12.31
2025-02,4883,7506417520.95,1537255.28,153123.5,14.65,15.04
2025-03,7751,8398422754.32,1083527.64,144000.0,15.79,12.69
2025-04,8925,17249226467.25,1932686.44,182961.52,17.31,7.13
2025-05,3249,3484121315.14,1072367.29,162500.0,12.68,12.74
2025-06,5398,5296919208.99,981274.4,170000.0,13.38,10.12
2025-07,6396,13210030655.3,2065358.14,198754.89,13.55,7.89
2025-08,7235,8160074193.89,1127860.98,187500.0,12.84,11.64
2025-09,7461,14135996034.42,1894651.66,199000.0,13.14,8.1
2025-10,7944,15000075207.83,1888226.99,212000.0,12.64,8.32
2025-11,6760,11227015136.92,1660801.06,212660.0,11.08,9.01
2025-12,7870,14029214484.04,1782619.38,253545.84,11.54,10.67
2026-01,137,355555285.09,2595294.05,306000.0,1.08,96.24
2026-02,43,72037622.07,1675293.54,250716.0,1.05,95.24
2026-03,12,6763234.2,563602.85,459024.0,1.0,100.0
2026-04,7,55642353.57,7948907.65,274500.0,1.0,100.0
2026-05,3,5044248.63,1681416.21,471400.0,1.0,100.0
2026-06,4,809600.69,202400.17,80400.0,1.0,100.0
2026-07,1,1536000.0,1536000.0,1536000.0,1.0,100.0
2026-08,4,7271760.0,1817940.0,80000.0,1.0,100.0
2026-09,1,80000.0,80000.0,80000.0,1.0,100.0
