metodo_detalle,n,suma,promedio,mediana,maximo
LICITACIÓN PÚBLICA,4531,52998219285.89,11696804.08,2326690.0,989941899.25
ADJUDICACIÓN SIMPLIFICADA,15396,13793267646.3,895899.43,171666.67,522044250.86
LICITACIÓN PÚBLICA ABREVIADA,15015,11785210145.27,784895.78,267845.5,306024853.89
CONCURSO PÚBLICO DE SERVICIOS,2277,8738005382.39,3837507.85,1245560.0,399514631.25
CONTRATACIÓN DIRECTA,4099,8125081073.23,1982210.56,240000.0,512500714.05
CONCURSO PÚBLICO,1196,5428397765.16,4538794.12,1150000.0,555548287.41
CONVENIO,1630,5062557126.19,3105863.27,40000.0,615795125.4
SUBASTA INVERSA ELECTRÓNICA,8455,3696430126.03,437188.66,142500.0,84816697.83
CONTRATOS ESTANDARIZADOS,10,3332633298.51,333263329.85,60033029.66,1111909484.19
CONCURSO PÚBLICO ABREVIADO,13176,3189237315.95,242048.98,159006.68,99953640.08
REGÍMEN ESPECIAL,1925,2723547825.29,1414830.04,24000.0,291472083.62
CONCURSO PÚBLICO PARA CONSULTORÍA,907,1501844043.18,1655836.87,916302.14,26040000.0
ADJUDICACIÓN SELECTIVA,273,793127798.43,2905230.03,310139.4,208016225.0
CONTRATACIÓN INTERNACIONAL,306,502566544.61,1642374.33,15468.75,103999524.27
COMPARACIÓN DE PRECIOS,5330,407328240.55,76421.81,74900.0,6936130.56
ADJUDICACIÓN SIMPLIFICADA-HOMOLOGACIÓN,228,393254427.19,1724800.12,277746.0,24475651.2
LICITACIÓN PÚBLICA ABREVIADA - LEY N°31589,8,334190092.14,41773761.52,1808858.0,87734195.26
PROCEDIMIENTO ESPECIAL DE CONTRATACIÓN,101,311989367.64,3089003.64,475759.13,36415784.62
ADJUDICACIÓN ABREVIADA,266,272899334.67,1025937.35,389400.0,12662323.44
PROCEDIMIENTO ESPECIAL DE CONTRATACIÓN-NUEVA CONVOCATORIA POR DESIERTO,48,151514834.62,3156559.05,623500.0,43278070.03
CONCURSO PÚBLICO ABREVIADO HOMOLOGACIÓN,58,137988938.41,2379119.63,382500.0,32234904.0
LICITACIÓN PÚBLICA ABREVIADA HOMOLOGACIÓN,40,24072039.93,601801.0,306533.33,5846280.5
CONCURSO PÚBLICO ABREVIADO - LEY N°26859,9,16859363.48,1873262.61,620000.0,7444467.19
ADJUDICACIÓN SIMPLIFICADA - SÉPTIMA DISPOSICIÓN COMPLEMENTARIA FINAL REG. LEY 30225,1,8441567.74,8441567.74,8441567.74,8441567.74
LICITACIÓN PÚBLICA ABREVIADA - LEY N°26859,9,4074742.78,452749.2,391200.0,947890.5
CONCURSO PÚBLICO ABREVIADO - LEY N°31589,3,2833164.46,944388.15,217800.0,2543364.46
CONCURSO PÚBLICO ABREVIADO SÉPTIMA DCF LEY N°32069,11,2323043.9,211185.81,65499.99,1501198.21
LICITACIÓN PÚBLICA ABREVIADA SÉPTIMA DCF LEY N°32069,4,2094327.95,523581.99,86052.0,1268064.0
ADJUDICACIÓN PARA CONTRATO MARCO,4,687348.46,171837.12,1.0,343673.23
SELECCIÓN DE CONSULTORES INDIVIDUALES,3,154700.0,51566.67,50000.0,55200.0
