region,n,suma,promedio,mediana,maximo
LIMA,19682,55275312024.34,2808419.47,210000.0,1111909484.19
HUANCAYO,1617,3874848278.73,2396319.28,226253.0,299596763.33
AREQUIPA,2353,3744819922.0,1591508.68,215900.0,196359465.7
PIURA,1035,3152062435.66,3045470.95,305940.96,192206235.69
TRUJILLO,1490,2908059740.09,1951717.95,293706.67,194104580.82
MAYNAS,828,2876977633.94,3474610.67,300480.0,989941899.25
CUSCO,2212,2848641891.23,1287812.79,173980.0,155732018.75
CHICLAYO,1010,2250928012.1,2228641.6,284096.26,171135983.55
PASCO,819,2242645456.81,2738272.84,235000.0,186613871.1
PUNO,1948,2211401270.95,1135216.26,172466.8,132230894.54
HUARAZ,904,1646719790.57,1821592.69,175000.0,200632580.83
CORONEL PORTILLO,1065,1512246888.55,1419950.13,150450.0,67718979.42
HUARI,1000,1394188201.32,1394188.2,185400.0,42909927.23
TACNA,936,1375619370.96,1469678.82,181629.0,91792356.36
HUAMANGA,2069,1313804740.61,634995.04,119246.0,99620411.21
NAZCA,410,1285550066.15,3135487.97,490705.93,100486525.44
CALLAO,1366,1284526601.98,940356.22,187835.8,54799200.0
LA CONVENCION,1731,1228778578.79,709866.31,119600.0,49767564.58
HUANUCO,1228,1190550656.73,969503.79,179620.0,60722595.17
CHACHAPOYAS,471,1146643177.61,2434486.58,181000.0,162045863.13
HUANCAVELICA,633,1145480281.42,1809605.5,137536.0,246329423.93
SANTA,856,1128688319.44,1318561.12,192453.07,83122425.06
JAEN,456,865464052.5,1897947.48,260700.82,63843197.63
MORROPON,259,843417414.34,3256437.89,354744.0,54578186.03
HUAURA,550,800390420.42,1455255.31,221965.6,110582521.31
ICA,592,783490471.45,1323463.63,286676.0,116302588.7
MOYOBAMBA,595,757725459.9,1273488.17,221000.0,83533404.26
MARISCAL NIETO,1060,734417801.48,692846.98,146320.0,76762180.75
CUTERVO,347,730202829.73,2104330.92,289420.61,35257604.16
REQUENA,184,711176331.46,3865088.76,408250.0,173867282.29
JORGE BASADRE,374,664048881.05,1775531.77,117000.0,134238202.34
CAJAMARCA,691,618452975.85,895011.54,243633.51,33528354.62
ABANCAY,1132,502357753.3,443778.93,149619.0,17909306.68
TAYACAJA,365,492950735.58,1350549.96,214387.03,25165716.93
SULLANA,258,486702616.2,1886444.25,294681.61,52054882.17
CHOTA,363,466092178.25,1284000.49,330000.0,19495315.87
COTABAMBAS,588,444257434.86,755539.86,141067.76,44265863.97
CAÑETE,370,431464375.9,1166119.93,281823.68,66255202.04
SAN MARTIN,334,389046489.08,1164809.85,277500.0,29721993.4
SAN ROMAN,401,349570173.18,871746.07,127495.0,59124314.93
CHUMBIVILCAS,383,340147770.55,888114.28,115599.0,44656629.41
CARABAYA,242,309158537.35,1277514.62,128350.0,47714671.13
SATIPO,521,293740808.54,563801.94,170000.0,23281920.0
AYABACA,212,269995598.77,1273564.15,206833.0,49457882.65
SAN IGNACIO,216,267651355.42,1239126.65,162769.2,46891015.37
CHURCAMPA,130,262188807.96,2016836.98,150000.0,56325617.34
OTUZCO,153,235585128.91,1539772.08,257939.21,33008523.79
ANDAHUAYLAS,487,230835272.26,473994.4,130000.0,9554882.46
SANTIAGO DE CHUCO,180,230163024.75,1278683.47,259000.0,22450926.38
CALCA,217,228170255.5,1051475.83,130639.67,68254771.85
CHINCHA,309,222769563.78,720937.1,225000.0,18797925.69
PISCO,237,218386716.16,921462.94,259530.76,9488574.68
TUMBES,349,216451606.57,620205.18,182830.97,21817000.0
LA MAR,310,215053952.87,693722.43,124200.0,40331155.43
ALTO AMAZONAS,263,214268977.3,814710.94,204000.0,30259503.6
TALARA,136,211416543.59,1554533.41,235303.38,48799418.56
LAURICOCHA,93,207658794.03,2232890.26,482270.0,21046842.99
BAGUA,205,207554459.93,1012460.78,201531.05,30109000.0
PATAZ,251,201182269.1,801522.98,412042.6,11948600.82
DATEM DEL MARAÑON,132,190490133.08,1443107.07,379867.02,21599407.0
LAMBAYEQUE,251,185250471.02,738049.69,283390.07,10927809.36
SECHURA,136,174400808.27,1282358.88,340985.23,9140335.78
MARISCAL CACERES,108,173329985.06,1604907.27,184596.79,56768703.32
CAYLLOMA,197,171217010.3,869121.88,156523.0,40845853.87
UTCUBAMBA,127,169003692.33,1330737.73,155000.0,28115269.58
PAITA,141,167848865.49,1190417.49,271455.79,36415784.62
SANCHEZ CARRION,267,163364031.31,611850.3,197835.7,11923070.54
QUISPICANCHI,279,163233004.41,585064.53,109920.0,60890231.27
BONGARA,68,162920275.06,2395886.4,200000.0,23034298.4
ANGARAES,186,160590546.57,863390.04,121240.0,25051492.62
JAUJA,225,159588601.47,709282.67,198000.0,27024574.04
LORETO,123,158053876.12,1284990.86,685000.0,19905910.59
SANTA CRUZ,96,155592123.43,1620751.29,219060.36,43118973.54
TAMBOPATA,513,155142694.67,302422.41,140800.0,5241250.36
PARURO,108,154093691.74,1426793.44,105810.0,15300877.32
ILO,337,152199028.34,451629.16,192000.0,16454134.49
HUANTA,175,151032225.37,863041.29,147910.71,15382782.35
SAN MARCOS,84,150264536.39,1788863.53,133859.52,102864927.67
PADRE ABAD,188,147305094.47,783537.74,155417.81,18887396.02
CAJABAMBA,133,146655625.41,1102673.88,249900.0,15062539.28
HUARAL,215,146450890.77,681166.93,188000.0,20589335.66
HUANCABAMBA,146,144685889.59,990999.24,237927.97,16517852.41
ATALAYA,188,144637562.28,769348.74,182142.0,26793601.15
CANAS,125,143780840.52,1150246.72,100258.0,21970302.91
SAN MIGUEL,159,141480408.91,889813.89,215889.0,14447999.05
SANDIA,119,140766282.01,1182909.93,185000.0,24375643.29
HUAMALIES,131,139009284.47,1061139.58,202370.0,14574274.47
CELENDIN,203,136270198.94,671281.77,167081.39,18231720.33
OXAPAMPA,207,127675678.78,616790.72,150000.0,10230791.88
VICTOR FAJARDO,102,126817553.16,1243309.34,312972.75,14540980.18
ESPINAR,359,125129030.44,348548.83,99000.0,11215610.16
DOS DE MAYO,72,122836626.0,1706064.25,210000.0,15998597.15
YAULI,138,118901317.76,861603.75,329205.38,8676832.3
CHANCHAMAYO,294,115316787.33,392233.97,167442.0,5050000.0
ASCOPE,107,115200983.37,1076644.7,363866.95,9038329.71
CONDORCANQUI,86,114943355.51,1336550.65,228657.4,21363096.94
YAROWILCA,83,114415272.16,1378497.25,182690.0,39602262.25
PUERTO INCA,111,112477380.07,1013309.73,201000.0,30653070.56
SIHUAS,116,102995436.5,887891.69,210000.0,11457801.53
CHINCHEROS,284,100948245.67,355451.57,119469.6,8000046.15
CONTUMAZA,99,99945517.24,1009550.68,220000.0,11962360.33
UCAYALI,112,99298981.55,886598.05,180000.0,14406396.13
HUALGAYOC,161,98928185.52,614460.78,230300.0,5995083.85
SAN PABLO,64,97455303.55,1522739.12,363494.11,27894148.37
HUALLAGA,52,97400380.31,1873084.24,134460.0,19548833.24
VIRU,92,97230628.39,1056854.66,298900.0,23466202.35
PACHITEA,159,97053902.62,610401.9,148305.08,10618612.51
JULCAN,80,96159477.66,1201993.47,405246.54,14980000.57
LAMAS,119,94253772.86,792048.51,228383.1,8292032.55
CONCEPCION,192,93501056.22,486984.67,184890.0,7571228.9
TOCACHE,166,93085920.4,560758.56,142289.5,21145000.0
AZANGARO,211,92026826.67,436146.1,133148.4,15623604.53
MELGAR,232,91617007.94,394900.9,145000.0,8384070.73
CARHUAZ,154,90752111.47,589299.43,291697.1,6785331.14
CARLOS FERMIN FITZCARRALD,77,90153309.21,1170822.2,294522.08,20545994.84
BOLIVAR,35,89805792.14,2565879.78,122958.0,67706187.71
PAUCARTAMBO,179,89103290.71,497783.75,117000.0,9402932.59
RIOJA,123,87905432.12,714678.31,200970.0,8329019.42
YAUYOS,104,87711292.08,843377.81,171023.03,24761678.72
AMBO,132,86748215.11,657183.45,130000.0,12240450.01
LEONCIO PRADO,230,84131088.36,365787.34,140500.0,8589140.11
CANCHIS,223,83714043.63,375399.3,115200.0,19323230.37
LUYA,105,82853934.11,789085.09,181928.82,11258094.35
BARRANCA,164,79949637.85,487497.79,189995.59,24500709.51
RECUAY,127,77991065.79,614102.88,195000.0,8235825.29
URUBAMBA,172,76697658.39,445916.62,97002.0,19440000.0
LAMPA,90,75939478.63,843771.98,156600.0,19941959.07
GRAU,106,74899382.14,706597.94,101336.95,17809004.81
CHEPEN,59,73695198.82,1249071.17,244013.86,14229017.44
HUAROCHIRI,126,72508988.68,575468.16,178358.4,6226808.34
CANGALLO,115,71541742.23,622102.11,148900.0,8225889.21
ANTABAMBA,39,71335886.79,1829125.3,205000.0,11095269.97
YUNGAY,126,66643127.98,528913.71,272670.16,11998363.5
MARISCAL LUZURIAGA,73,66393209.46,909496.02,413956.04,10095844.73
CHUCUITO,167,66113281.31,395887.91,176120.0,4072062.56
ACOBAMBA,133,64850348.92,487596.61,148680.0,7283245.63
BELLAVISTA,61,63064767.31,1033848.64,283142.59,36775292.45
CASMA,96,61734646.55,643069.23,335445.0,3492268.73
VILCAS HUAMAN,71,61618164.9,867861.48,131594.0,7600522.35
TAHUAMANU,40,61058958.19,1526473.95,82575.0,46663400.0
TARMA,159,59728655.79,375651.92,191388.31,6120675.17
ANTONIO RAYMONDI,64,58650464.81,916413.51,236277.12,10190876.21
CARAVELI,101,55556971.1,550069.02,190000.0,4084502.56
