metodo_detalle,suma
LICITACIÓN PÚBLICA,52998219285.89
ADJUDICACIÓN SIMPLIFICADA,13793267646.3
LICITACIÓN PÚBLICA ABREVIADA,11785210145.27
CONCURSO PÚBLICO DE SERVICIOS,8738005382.39
CONTRATACIÓN DIRECTA,8125081073.23
CONCURSO PÚBLICO,5428397765.16
CONVENIO,5062557126.19
SUBASTA INVERSA ELECTRÓNICA,3696430126.03
CONTRATOS ESTANDARIZADOS,3332633298.51
CONCURSO PÚBLICO ABREVIADO,3189237315.95
REGÍMEN ESPECIAL,2723547825.29
CONCURSO PÚBLICO PARA CONSULTORÍA,1501844043.18
ADJUDICACIÓN SELECTIVA,793127798.43
CONTRATACIÓN INTERNACIONAL,502566544.61
COMPARACIÓN DE PRECIOS,407328240.55
ADJUDICACIÓN SIMPLIFICADA-HOMOLOGACIÓN,393254427.19
LICITACIÓN PÚBLICA ABREVIADA - LEY N°31589,334190092.14
PROCEDIMIENTO ESPECIAL DE CONTRATACIÓN,311989367.64
ADJUDICACIÓN ABREVIADA,272899334.67
PROCEDIMIENTO ESPECIAL DE CONTRATACIÓN-NUEVA CONVOCATORIA POR DESIERTO,151514834.62
CONCURSO PÚBLICO ABREVIADO HOMOLOGACIÓN,137988938.41
LICITACIÓN PÚBLICA ABREVIADA HOMOLOGACIÓN,24072039.93
CONCURSO PÚBLICO ABREVIADO - LEY N°26859,16859363.48
ADJUDICACIÓN SIMPLIFICADA - SÉPTIMA DISPOSICIÓN COMPLEMENTARIA FINAL REG. LEY 30225,8441567.74
LICITACIÓN PÚBLICA ABREVIADA - LEY N°26859,4074742.78
CONCURSO PÚBLICO ABREVIADO - LEY N°31589,2833164.46
CONCURSO PÚBLICO ABREVIADO SÉPTIMA DCF LEY N°32069,2323043.9
LICITACIÓN PÚBLICA ABREVIADA SÉPTIMA DCF LEY N°32069,2094327.95
ADJUDICACIÓN PARA CONTRATO MARCO,687348.46
SELECCIÓN DE CONSULTORES INDIVIDUALES,154700.0
