metodo_detalle,n,postores_promedio,pct_postor_unico,monto_mediano
LICITACIÓN PÚBLICA ABREVIADA,14960,13.65,1.53,259918.25
ADJUDICACIÓN SIMPLIFICADA,14063,18.97,1.42,166992.0
CONCURSO PÚBLICO ABREVIADO,13238,14.62,1.53,156427.0
SUBASTA INVERSA ELECTRÓNICA,8265,8.53,2.32,139900.0
COMPARACIÓN DE PRECIOS,5324,3.28,0.54,74662.0
LICITACIÓN PÚBLICA,4252,23.13,0.49,1910135.0
CONTRATACIÓN DIRECTA,4154,1.15,91.33,230191.63
CONCURSO PÚBLICO DE SERVICIOS,2319,24.57,0.56,1216850.4
REGÍMEN ESPECIAL,2056,2.25,77.29,24000.0
CONVENIO,1573,2.37,55.82,40000.0
CONCURSO PÚBLICO,1085,32.21,0.37,1118345.0
CONTRATACIÓN INTERNACIONAL,1082,1.02,98.43,22084.78
CONCURSO PÚBLICO PARA CONSULTORÍA,873,24.52,0.0,903269.5
ADJUDICACIÓN ABREVIADA,432,1.04,96.3,271529.8
ADJUDICACIÓN SELECTIVA,285,4.03,17.19,261668.3
ADJUDICACIÓN SIMPLIFICADA-HOMOLOGACIÓN,206,15.67,2.43,277760.0
PROCEDIMIENTO ESPECIAL DE CONTRATACIÓN,96,22.96,0.0,475759.13
CONCURSO PÚBLICO ABREVIADO HOMOLOGACIÓN,62,11.23,1.61,334565.0
PROCEDIMIENTO ESPECIAL DE CONTRATACIÓN-NUEVA CONVOCATORIA POR DESIERTO,46,13.52,0.0,597384.9
LICITACIÓN PÚBLICA ABREVIADA HOMOLOGACIÓN,41,18.68,0.0,306533.33
CONCURSO PÚBLICO ABREVIADO SÉPTIMA DCF LEY N°32069,11,15.73,0.0,65499.99
CONTRATOS ESTANDARIZADOS,10,2.4,30.0,60033029.66
LICITACIÓN PÚBLICA ABREVIADA - LEY N°26859,9,15.33,0.0,391200.0
CONCURSO PÚBLICO ABREVIADO - LEY N°26859,9,20.0,0.0,620000.0
LICITACIÓN PÚBLICA ABREVIADA - LEY N°31589,8,28.38,0.0,1808858.0
ADJUDICACIÓN PARA CONTRATO MARCO,5,3.6,0.0,1.0
LICITACIÓN PÚBLICA ABREVIADA SÉPTIMA DCF LEY N°32069,4,9.25,0.0,86052.0
PROCESO POR COMPETENCIA,3,7.67,0.0,7860629.42
CONCURSO PÚBLICO ABREVIADO - LEY N°31589,3,23.67,0.0,217800.0
SELECCIÓN DE CONSULTORES INDIVIDUALES,2,2.0,0.0,50000.0
ADJUDICACIÓN SIMPLIFICADA - SÉPTIMA DISPOSICIÓN COMPLEMENTARIA FINAL REG. LEY 30225,1,12.0,0.0,8441567.74
