n_postores,count
1,8690
2,2931
3,7622
4,3684
5,3415
6,3297
7,3221
8,3035
9,2908
10,2801
11,2522
12,2390
13,2264
14,2065
15,1906
16,1801
17,1567
18,1433
19,1282
20,1176
21,1040
22,958
23,944
24,822
25,771
26,690
27,587
28,592
29,520
30,504
31,424
32,416
33,363
34,353
35,310
36,293
37,296
38,242
39,256
40,245
41,234
42,176
43,188
44,198
45,142
46,135
47,152
48,169
49,118
50,130
51,114
52,125
53,112
54,82
55,75
56,78
57,82
58,73
59,81
60,55
61,79
62,45
63,68
64,46
65,33
66,55
67,41
68,44
69,35
70,37
71,34
72,55
73,44
74,39
75,27
76,23
77,26
78,26
79,31
80,29
81,27
82,17
83,18
84,23
85,19
86,17
87,22
88,11
89,21
90,12
91,14
92,11
93,18
94,10
95,17
96,12
97,15
98,14
99,8
100,5
101,14
102,8
103,14
104,8
105,12
106,10
107,14
108,3
109,7
110,3
111,5
112,2
113,7
114,2
115,7
116,3
117,6
118,1
119,4
120,3
121,1
122,1
123,2
124,4
126,4
127,2
128,2
129,2
130,2
132,3
134,1
135,3
136,2
137,1
138,2
141,1
147,3
148,4
151,1
154,1
158,1
160,1
164,1
165,1
167,3
170,1
171,1
175,1
181,1
197,1
216,1
221,1
228,1
267,1
271,1
278,1
282,1
