ranking,proveedor,monto_total,pct_del_total,acumulado_pct
1,J Y S SERVICIOS GENERALES SOCIEDAD ANONIMA CERRADA ¿ J Y S SERVICIOS GENERALES SAC,1111909484.19,1.539,1.539
2,CONSORCIO SAN JUAN,1107905067.02,1.533,3.072
3,"SINOHYDRO CORPORATION LIMITED, SUCURSAL DEL PERU",1031650990.0,1.428,4.5
4,VIETTEL  PERU  S.A.C.,751591219.77,1.04,5.54
5,CONSORCIO HUASCARAN,690414841.29,0.956,6.496
6,CONSORCIO HOSPITALARIO CHOTA,598800820.99,0.829,7.325
7,PETROLEOS DEL PERU S.A.,579163564.84,0.802,8.127
8,CONSORCIO SAN FELIPE,476770077.61,0.66,8.787
9,CONSORCIO HOSPITALARIO MANCHAY,467794135.53,0.647,9.434
10,CONSORCIO HOSPITAL ARAKAKI,413396563.08,0.572,10.006
11,AMERICA MOVIL PERU S.A.C.,357859352.27,0.495,10.501
12,CONSORCIO SANTA FE,306684695.38,0.424,10.925
13,CONSORCIO 35V,306024853.89,0.424,11.349
14,CORPORACION LINDLEY S.A.,291472083.62,0.403,11.752
15,CONSORCIO VIAL CORDILLERA BLANCA,282305379.16,0.391,12.143
16,CONSORCIO VIAL HUANDOY,277863785.56,0.385,12.528
17,CONSORCIO PUNO,273886107.57,0.379,12.907
18,CONSORCIO VIAL HUARI,273242908.25,0.378,13.285
19,CONSORCIO KABSA,264436693.86,0.366,13.651
20,CONSORCIO INGENIERIA DIAMANTE - GA,262001446.71,0.363,14.014
21,CONSORCIO CORREDOR VIAL SANTA TERESA,257607557.0,0.357,14.371
22,CONSORCIO LIMA,233602864.12,0.323,14.694
23,CONSORCIO VIAL CUSCO,231731550.13,0.321,15.015
24,CONSORCIO RIJ,226736750.83,0.314,15.329
25,CONSORCIO TOM,224940297.38,0.311,15.64
26,CONSORCIO VIADUCTO BEGONIAS,224533398.58,0.311,15.951
27,CONSORCIO ZACHARY SMITH,222950800.0,0.309,16.26
28,CONSORCIO HOSPITALARIO ZACARIAS,221165658.64,0.306,16.566
29,"SUMEC COMPLETE EQUIPMENT & ENGINEERING CO., LTD SUCURSAL DEL PERU",220988000.0,0.306,16.872
30,CONSORCIO VIAL BEGONIAS,212624243.91,0.294,17.166
31,CONSORCIO OCROS,209312182.39,0.29,17.456
32,CONSORCIO DIMAQ,208016225.0,0.288,17.744
33,CONSORCIO HOSPITAL VIRU,194104580.82,0.269,18.013
34,CONSORCIO SAN SEBASTIAN,193332276.74,0.268,18.281
35,CONSORCIO EJECUTOR PENAL AREQUIPA,192319950.67,0.266,18.547
36,CONSORCIO EPIURA,192204466.3,0.266,18.813
37,CONSORCIO MARAÑON,187530550.39,0.26,19.073
38,CONSORCIO VIAL SUIZA,186613871.1,0.258,19.331
39,CONSORCIO MAJES 4,185814715.46,0.257,19.588
40,CONSORCIO VIAL YURA,176723519.15,0.245,19.833
41,CONSORCIO VIAL SANTA INES,174479094.95,0.242,20.075
42,CONSORCIO SANTA ROSA,173476094.28,0.24,20.315
43,GECI ESPAÑOLA AEROSPACE SOLUTIONS SA,172557000.0,0.239,20.554
44,CONSORCIO ANTONIO RAYMONDI,170762102.98,0.236,20.79
45,ROLOPOM CORPORIS II,167586691.15,0.232,21.022
46,CONSORCIO BRONTES,167542127.9,0.232,21.254
47,CONSORCIO PROTECCION Y RESGUARDO S.A. - PROTEGE SERVICIOS S.A.,162379126.32,0.225,21.479
48,CONSORCIO HOSPITALARIO REQUENA,162000000.0,0.224,21.703
49,TECNOLOGIAS ECOLOGICAS PRISMA SAC,161781495.3,0.224,21.927
50,CONSORCIO PP 911,157898688.14,0.219,22.146
51,CONSORCIO RIO BRANCO SUR,155408189.93,0.215,22.361
52,CONSORCIO SAN MIGUEL,149098605.1,0.206,22.567
53,CONSORCIO SALUD SANTA CRUZ,147815212.3,0.205,22.772
54,CONSORCIO CENEPA ASOCIADOS,145797814.83,0.202,22.974
55,WIN EMPRESAS S.A.C.,144634965.13,0.2,23.174
56,INVERSIONES QUINTA HEEREN S.A.,135908082.82,0.188,23.362
57,RIPCONCIV CONSTRUCCIONES CIVILES CIA LTDA SUCURSAL DEL PERU,135791670.06,0.188,23.55
58,CONSORCIO PENAL PUCALLPA,134922238.17,0.187,23.737
59,GENUS SVC S.A.C.,134238202.34,0.186,23.923
60,CONSORCIO CONSTRUCTOR LAMPA,132230894.54,0.183,24.106
61,CHINA GEZHOUBA GROUP COMPANY LIMITED SUCURSAL PERU,127879218.39,0.177,24.283
62,CONSORCIO SAN JOSE,125301119.01,0.173,24.456
63,INDUSTRIAS ARGUELLES Y SERVICIOS GENERALES SOCIEDAD ANONIMA CERRADA,124380823.0,0.172,24.628
64,CONSORCIO VIAL SANTO TOMAS II,124200000.0,0.172,24.8
65,CONSORCIO TAMBOGRANDE,123804137.7,0.171,24.971
66,GRUPO SANTA FE SOCIEDAD ANONIMA CERRADA - GRUPO SANTA FE S.A.C.,121738071.66,0.169,25.14
67,XERTICA LABS SOCIEDAD ANONIMA CERRADA - XERTICA LABS S.A.C.,119957806.38,0.166,25.306
68,CONSORCIO YUNKA YACHAY,119610356.4,0.166,25.472
69,GRUPO FER. CONS SOCIEDAD ANONIMA CERRADA,115300014.16,0.16,25.632
70,CORPORACION DIAMANTE JUBERS S.A.C.,112985194.08,0.156,25.788
71,CONSORCIO ELÉCTRICO MADRE DE DIOS,112433283.95,0.156,25.944
72,CONSORCIO PRIALE,111043751.14,0.154,26.098
73,CONSORCIO VIAL BICENTENARIO,110582521.31,0.153,26.251
74,CONSORCIO TRUJILLO,109461391.66,0.152,26.403
75,CONSORCIO VIAL EL DORADO,108030301.86,0.15,26.553
76,CONSORCIO ARGOS,107047739.14,0.148,26.701
77,CONSORCIO SALUD CHACHAPOYAS,106465512.83,0.147,26.848
78,CONSORCIO VIAL CHICAMA,104437569.67,0.145,26.993
79,HANNOVER RÜCK SE,103999524.27,0.144,27.137
80,CONSORCIO NAPOLEON,102864927.67,0.142,27.279
81,CONSORCIO INGENIERIA DIAMANTE,102644038.94,0.142,27.421
82,CONSORCIO MARCONA SEGURO,100486525.44,0.139,27.56
83,CONSORCIO FORTALEZA,99799561.5,0.138,27.698
84,CONSORCIO GURKAS SAC,99787223.75,0.138,27.836
85,CONSORCIO INNOVACION ELECTRICA,99775631.8,0.138,27.974
86,CONSORCIO SALUD HUANCA SANCOS II,99620411.21,0.138,28.112
87,TELEFÓNICA TECH PERÚ S.A.C.,99362474.48,0.138,28.25
88,CORPORACION PERUANA DE ALIMENTOS VILLEGAS S.A.C.,96541593.51,0.134,28.384
89,CONSORCIO VIAL CAYLLOMA,95672236.76,0.132,28.516
90,MERCK SHARP & DOHME PERU S.R.L.,95460000.0,0.132,28.648
91,CONSORCIO EDUCATIVO MACEDO,95429342.26,0.132,28.78
92,CONSORCIO SAN FRANCISCO DE ASIS,95407888.88,0.132,28.912
93,AVANZADA TECNOLOGIA Y SERVICIOS S.A.C,94946311.61,0.131,29.043
94,DIAGNOSTICA PERUANA S.A.C.,94147542.0,0.13,29.173
95,CONSORCIO PIURA,94060655.43,0.13,29.303
96,CONSTRUCTORA E INMOBILIARIA ENSAMAR S.R.L.,92014234.79,0.127,29.43
97,CONSORCIO GRECO,91792356.36,0.127,29.557
98,CONSORCIO NORTE,90558019.49,0.125,29.682
99,FABRICA DE ARMAS Y MUNICIONES DEL EJERCITO SAC - FAME SAC,88148050.2,0.122,29.804
100,CONSORCIO INGENIEROS,87904182.82,0.122,29.926
101,CONSORCIO VIRGEN DEL CARMEN,85924747.3,0.119,30.045
102,MMX INFRA SOCIEDAD ANONIMA CERRADA,85356293.68,0.118,30.163
103,ACCIONA AGUA SERVICIOS S.L. SUCURSAL PERÚ,84223736.88,0.117,30.28
104,CONSORCIO SAN PEDRO,83732794.12,0.116,30.396
105,CONSORCIO PUENTE HUALLAGA,83533404.26,0.116,30.512
106,CONSORCIO INFRASALUD AMAZONAS,82887449.85,0.115,30.627
107,PLUZ ENERGÍA PERÚ S.A.A.,82683366.27,0.114,30.741
108,CONSORCIO VIAL AERODROMO,81070773.81,0.112,30.853
109,CONSORCIO AULAS VIRTUALES,79846541.4,0.111,30.964
110,PROMAINGSA S.A.C.,78220855.78,0.108,31.072
111,SIMED PERU S.A.C.,77243101.35,0.107,31.179
112,CONSORCIO CHAVIN DE HUANTAR,77000000.0,0.107,31.286
113,CONSORCIO TRUJILLO DIGITAL,75181303.0,0.104,31.39
114,NEGOCIOS INNOVACIONES E INGENIERIA S.A.,74978298.19,0.104,31.494
115,CONSORCIO VAICA Y ASOCIADOS,74823413.97,0.104,31.598
116,CONSORCIO TERMINAL TERRESTRE,74354850.77,0.103,31.701
117,EMPRESA DE SERVICIOS DE LIMPIEZA Y SANEAMIENTO AMBIENTAL CAMPITOS SOCIEDAD ANONIMA CERRADA,73755770.64,0.102,31.803
118,CONCYSSA S A,73232162.31,0.101,31.904
119,BANCO INTERNACIONAL DEL PERU-INTERBANK,73000919.59,0.101,32.005
120,CONSORCIO INGENIERIA Y CONSTRUCCION,72193327.69,0.1,32.105
121,CONSORCIO AGUA MASS,71486707.14,0.099,32.204
122,CONSORCIO VIÑANI,71306523.94,0.099,32.303
