entidad,hhi,m_total,n_proveedores,nivel
UNIDAD EJECUTORA 012 - OFICINA GENERAL DE INVERSIONES Y PROYECTOS,9407.6,71496732.39999999,24,alto
MUNICIPALIDAD DISTRITAL DE SAN JUAN DE BIGOTE,9366.8,12918344.830000002,5,alto
MUNICIPALIDAD DISTRITAL DE TAPAYRIHUA,9209.2,11431814.360000001,5,alto
MUNICIPALIDAD DISTRITAL DE YAMBRASBAMBA,9201.6,40680779.300000004,5,alto
PODER JUDICIAL - UNIDAD DE COORDINACION DEL PROYECTO MEJORAMIENTO DE LOS SERVICIOS DE JUSTICIA,8909.4,10466616.62,8,alto
INPE-DIRECCION REGIONAL ALTIPLANO PUNO,8791.8,12556689.0,7,alto
MUNICIPALIDAD PROVINCIAL DE BOLIVAR,8776.0,72340414.53999999,8,alto
MUNICIPALIDAD DISTRITAL DE ANCO - CHURCAMPA,8721.5,17891639.820000004,6,alto
MUNICIPALIDAD DISTRITAL DE CUJILLO,8662.4,21041895.259999998,6,alto
GOBIERNO REGIONAL DE LORETO - ORGANISMO PUBLICO INFRAESTRUCTURA PARA LA PRODUCTIVIDAD,8529.1,1073930988.64,7,alto
MUNICIPALIDAD DISTRITAL DE LLACANORA,8507.6,26085208.389999997,6,alto
MUNICIPALIDAD DISTRITAL DE ACOS,8479.7,8162657.279999999,5,alto
MUNICIPALIDAD DISTRITAL DE SANGARARA,8450.0,10464876.02,6,alto
MUNICIPALIDAD DISTRITAL DE SALITRAL - SULLANA,8444.4,5597923.75,5,alto
MUNICIPALIDAD DISTRITAL DE PACAYCASA,8410.6,9547062.71,5,alto
GOBIERNO REGIONAL DE ANCASH - PROYECTO ESPECIAL CHINECAS,8391.5,5571488.8,5,alto
MUNICIPALIDAD DISTRITAL DE CUMBA,8380.5,9669056.42,6,alto
MUNICIPALIDAD DISTRITAL VILLA VIRGEN,8337.7,14166090.99,7,alto
MUNICIPALIDAD PROVINCIAL DE SAN MARCOS - PEDRO GALVEZ,8278.5,113417322.43,8,alto
UNIDAD EJECUTORA 008:PROYECTOS ESPECIALES DEL PLIEGO 003 - MINISTERIO DE CULTURA,8242.1,58216039.74,14,alto
MUNICIPALIDAD DISTRITAL DE HUAMANGUILLA,8197.4,14021915.42,7,alto
MUNICIPALIDAD DISTRITAL DE SONDORILLO,8139.5,9835361.31,6,alto
MUNICIPALIDAD DISTRITAL DE SAN MIGUEL DE EL FAIQUE,8107.6,18055132.0,7,alto
MUNICIPALIDAD DISTRITAL DE CHACOCHE,7968.7,4003441.73,5,alto
FONDO DE ASEGURAMIENTO EN SALUD DE LA POLICIA NACIONAL DEL PERU,7902.0,10850793.23,9,alto
MUNICIPALIDAD DISTRITAL DE LLOCHEGUA,7880.9,4768384.749999999,6,alto
EMPRESA  MUNICIPAL DE  AGUA POTABLE Y ALCANTERILLADO DE  BAGUA SRL,7769.9,16298159.870000001,7,alto
MUNICIPALIDAD DISTRITAL DE ATUNCOLLA,7718.7,28644284.25,7,alto
MUNICIPALIDAD DISTRITAL DE CARMEN ALTO,7688.2,10123277.34,7,alto
MUNICIPALIDAD DISTRITAL DE CALETA DE CARQUIN,7630.5,3185500.73,5,alto
UNIVERSIDAD NACIONAL DE CAÑETE,7630.4,43353154.98,11,alto
MUNICIPALIDAD DISTRITAL DE ELIAS SOPLIN VARGAS,7630.3,5737026.41,5,alto
MUNICIPALIDAD PROVINCIAL DE GRAU - CHUQUIBAMBILLA,7597.2,20478282.099999998,13,alto
MUNICIPALIDAD DISTRITAL DE EL CARMEN DE LA FRONTERA - SAPALACHE,7572.2,7553443.23,6,alto
MUNICIPALIDAD DISTRITAL DE ACOLLA,7571.3,9960317.319999998,6,alto
GOBIERNO REGIONAL DE UCAYALI - PROYECTO ESPECIAL CARRETERA FEDERICO BASADRE,7546.3,4618994.22,7,alto
MUNICIPALIDAD DISTRITAL DE LLAMA - CHOTA,7527.8,14657915.899999999,16,alto
MUNICIPALIDAD DISTRITAL DE MARANGANI,7505.3,22343472.580000002,13,alto
MUNICIPALIDAD DISTRITAL DE QUEROPALCA,7469.8,5989229.66,6,alto
MUNICIPALIDAD DISTRITAL DE SACSAMARCA,7448.6,3672722.25,5,alto
MUNICIPALIDAD DISTRITAL DE MORCOLLA,7434.6,5110883.61,6,alto
MUNICIPALIDAD DISTRITAL DE QUILCAS,7408.2,6518620.41,5,alto
MUNICIPALIDAD DISTRITAL DE KUNTURKANKI,7376.1,13881554.3,9,alto
MUNICIPALIDAD DISTRITAL DE SAN BENITO,7302.6,8990999.43,5,alto
MUNICIPALIDAD DISTRITAL DE SAN MARTIN ALAO,7289.2,8925947.07,5,alto
MUNICIPALIDAD DISTRITAL DE HUAMANCACA CHICO,7285.6,10244182.48,5,alto
MUNICIPALIDAD DISTRITAL DE CACHICADAN,7275.0,26388562.32,11,alto
MUNICIPALIDAD DISTRITAL DE ACZO,7266.1,7559330.63,7,alto
MUNICIPALIDAD DISTRITAL DE BAJO BIAVO,7260.1,43292268.410000004,9,alto
MUNICIPALIDAD DISTRITAL DE HONORIA,7245.0,10319869.45,7,alto
PROGRAMA AGUA SEGURA PARA LIMA Y CALLAO,7189.1,345217420.18000007,13,alto
MUNICIPALIDAD DISTRITAL DE CONGALLA,7110.2,21423248.13,8,alto
MUNICIPALIDAD DISTRITAL DE LOCROJA,7101.4,14350122.54,9,alto
MUNICIPALIDAD DISTRITAL DE HUANCAN,7097.5,7829877.8,5,alto
UNIDAD DE GESTION EDUCATIVA LOCAL UGEL 07 - SAN BORJA,7068.7,7750260.32,5,alto
MUNICIPALIDAD DISTRITAL DE FLORIDA - POMACOCHAS,7052.2,6141028.49,7,alto
MUNICIPALIDAD DISTRITAL DE MACARI,7051.7,6921215.58,7,alto
