proveedor,n_adjudicaciones,monto_total,pct_del_total
J Y S SERVICIOS GENERALES SOCIEDAD ANONIMA CERRADA ¿ J Y S SERVICIOS GENERALES SAC,1,1111909484.19,1.539
CONSORCIO SAN JUAN,48,1107905067.02,1.533
"SINOHYDRO CORPORATION LIMITED, SUCURSAL DEL PERU",3,1031650990.0,1.428
VIETTEL  PERU  S.A.C.,17,751591219.77,1.04
CONSORCIO HUASCARAN,10,690414841.29,0.956
CONSORCIO HOSPITALARIO CHOTA,1,598800820.99,0.829
PETROLEOS DEL PERU S.A.,4,579163564.84,0.802
CONSORCIO SAN FELIPE,7,476770077.61,0.66
CONSORCIO HOSPITALARIO MANCHAY,1,467794135.53,0.647
CONSORCIO HOSPITAL ARAKAKI,2,413396563.08,0.572
AMERICA MOVIL PERU S.A.C.,87,357859352.27,0.495
CONSORCIO SANTA FE,11,306684695.38,0.424
CONSORCIO 35V,1,306024853.89,0.424
CORPORACION LINDLEY S.A.,1,291472083.62,0.403
CONSORCIO VIAL CORDILLERA BLANCA,1,282305379.16,0.391
CONSORCIO VIAL HUANDOY,1,277863785.56,0.385
CONSORCIO PUNO,9,273886107.57,0.379
CONSORCIO VIAL HUARI,1,273242908.25,0.378
CONSORCIO KABSA,1,264436693.86,0.366
CONSORCIO INGENIERIA DIAMANTE - GA,1,262001446.71,0.363
CONSORCIO CORREDOR VIAL SANTA TERESA,1,257607557.0,0.357
CONSORCIO LIMA,25,233602864.12,0.323
CONSORCIO VIAL CUSCO,3,231731550.13,0.321
CONSORCIO RIJ,1,226736750.83,0.314
CONSORCIO TOM,1,224940297.38,0.311
CONSORCIO VIADUCTO BEGONIAS,1,224533398.58,0.311
CONSORCIO ZACHARY SMITH,1,222950800.0,0.309
CONSORCIO HOSPITALARIO ZACARIAS,1,221165658.64,0.306
"SUMEC COMPLETE EQUIPMENT & ENGINEERING CO., LTD SUCURSAL DEL PERU",2,220988000.0,0.306
CONSORCIO VIAL BEGONIAS,1,212624243.91,0.294
CONSORCIO OCROS,1,209312182.39,0.29
CONSORCIO DIMAQ,1,208016225.0,0.288
CONSORCIO HOSPITAL VIRU,1,194104580.82,0.269
CONSORCIO SAN SEBASTIAN,6,193332276.74,0.268
CONSORCIO EJECUTOR PENAL AREQUIPA,1,192319950.67,0.266
CONSORCIO EPIURA,1,192204466.3,0.266
