clasif_esquema,clasif_id,clasif_desc,n_items,n_procesos
CUBSO,1510150500233280,DIESEL B5 S-50,2196,2052
CUBSO,7214100300230730,SERVICIO DE MANTENIMIENTO RUTINARIO DE CAMINOS,1867,1793
CUBSO,9210150100094854,SERVICIO DE SEGURIDAD Y VIGILANCIA,949,738
CUBSO,8010150500228925,SERVICIO DE SEGUIMIENTO Y MONITOREO DE ACTIVIDADES DE CAMPO,870,867
CUBSO,3011160100012771,CEMENTO PORTLAND TIPO I X 42.50 kg,811,793
CUBSO,5013170200307453,LECHE EVAPORADA ENTERA X 400 g  APROX.,807,793
CUBSO,7214100300342329,MEJORAMIENTO DE PISTAS Y VEREDAS,786,779
CUBSO,8013150200094959,SERVICIO DE ALQUILER DE INMUEBLE,714,706
CUBSO,3011160100012953,CEMENTO PORTLAND PUZOLANICO TIPO IP X 42.50 kg,661,658
CUBSO,8110150500086213,ELABORACION DE EXPEDIENTE TECNICO DE OBRA PARA CONSTRUCCION DE PUENTES,646,637
CUBSO,7214110700233035,CONSTRUCCION DE PUENTE CARROZABLE,578,568
CUBSO,7214110700233033,CONSTRUCCION DE PUENTE VEHICULAR,547,540
CUBSO,9111160300225304,SERVICIO DE CONCESIONARIO (A) DE ALIMENTOS,508,301
CUBSO,7214100300333937,SERVICIO DE MANTENIMIENTO PERIODICO DE CAMINOS,447,421
CUBSO,7212140600233069,CONSTRUCCION DE CENTROS EDUCATIVOS,443,417
CUBSO,7214100300333938,SERVICIO DE MANTENIMIENTO RUTINARIO DE CARRETERAS,431,382
CUBSO,8110151000336399,SUPERVISION DE OBRA DE CONSTRUCCION DE CALLES Y SIMILARES,424,417
CUBSO,7212140600359845,AMPLIACION DE INFRAESTRUCTURA DE CENTROS EDUCATIVOS,422,417
CUBSO,7215310200233127,CONSTRUCCION DE LOSA DEPORTIVA,419,415
CUBSO,8110150500336396,SUPERVISION DE OBRA DE CONSTRUCCION DE PUENTES,417,401
CUBSO,7214100100233103,CONSTRUCCION DE CALLES CON PAVIMENTO,388,379
CUBSO,7212140300341204,SERVICIO DE MANTENIMIENTO DE INFRAESTRUCTURA DE CENTROS DE SALUD,343,335
CUBSO,1510150600390516,GASOHOL REGULAR,325,311
CUBSO,7710180500314145,SERVICIO DE EVALUACION EN TEMAS AMBIENTALES,302,302
CUBSO,8110151000336392,SUPERVISION DE OBRA DE CONSTRUCCION DE CARRETERAS CON PAVIMENTOS ASFALTICOS O CONCRETO,297,297
CUBSO,8110151500337566,ELABORACION DE EXPEDIENTE TECNICO DE OBRA PARA AMPLIACION DE SISTEMA DE AGUA POTABLE Y ALCANTARILLADO,291,283
CUBSO,5019210900391578,"HOJUELA DE AVENA, QUINUA Y KIWICHA PRECOCIDA ENRIQUECIDA CON VITAMINAS Y MINERALES",290,287
CUBSO,7212140600233068,REMODELACION DE INFRAESTRUCTURA DE CENTROS EDUCATIVOS,288,277
CUBSO,8110150800362877,SUPERVISION DE OBRA DE AMPLIACION DE CENTROS EDUCATIVOS,287,276
CUBSO,8110150800234062,ELABORACION DE EXPEDIENTE TECNICO DE OBRA PARA AMPLIACION DE CENTROS EDUCATIVOS,285,270
CUBSO,7611150100390420,SERVICIO DE LIMPIEZA DE AREAS ADMINISTRATIVAS U OFICINAS.,280,202
CUBSO,8210160300228453,SERVICIO DE PUBLICIDAD EN PAGINA WEB,280,274
CUBSO,7214112800233081,CONSTRUCCION DE PARQUES Y PLAZAS,277,277
CUBSO,7214112100337579,AMPLIACION DE SISTEMA DE AGUA POTABLE,275,272
CUBSO,2510150700065078,CAMIONETA PICK UP CABINA DOBLE 4 X 4,262,252
CUBSO,7212140600337190,SERVICIO DE MANTENIMIENTO DE INFRAESTRUCTURA DE CENTROS EDUCATIVOS,262,240
CUBSO,7214100100392916,SERVICIO DE CONSTRUCCION DE PISTAS Y VEREDAS,261,261
CUBSO,8110151500364447,SUPERVISION DE OBRA DE AMPLIACION DEL SISTEMA DE AGUA POTABLE Y ALCANTARILLADO,248,242
CUBSO,8110150800357780,SUPERVISION DE OBRA DE CONSTRUCCION DE INFRAESTRUCTURA DEPORTIVA,245,224
CUBSO,7214112100364484,AMPLIACION DE SISTEMA DE AGUA POTABLE Y DE SISTEMA DE ALCANTARILLADO,243,240
CUBSO,8212150400362193,SERVICIO DE IMPRESIONES EN PAPEL,242,180
CUBSO,7212120300233023,CONSTRUCCION DE CANALES DE RIEGO,232,231
CUBSO,7214100100233029,CONSTRUCCION DE CARRETERA,230,230
CUBSO,5310279900390290,UNIFORME PARA EL PERSONAL ADMINISTRATIVO,227,168
CUBSO,7214110600360065,CONSTRUCCION DE CAMINO VECINAL,225,223
CUBSO,7215260500367813,CONSTRUCCION DE COBERTURA CON PLANCHA METALICA PARA CAMPO DEPORTIVO,224,218
CUBSO,8110151000348276,SERVICIO DE SUPERVISION DE MANTENIMIENTO PERIODICO DE CAMINOS,218,201
CUBSO,7212110100233077,CONSTRUCCION DE LOCAL COMUNAL,211,210
CUBSO,8110151500354852,SUPERVISION DE OBRA DE SISTEMAS DE RIEGO,209,207
CUBSO,7214170100360040,SERVICIO DE ALQUILER DE EXCAVADORA HIDRAULICA SOBRE ORUGA,205,188
CUBSO,7214112800364494,REMODELACION DE PARQUES Y PLAZAS,204,197
CUBSO,7212140300233065,CONSTRUCCION DE INFRAESTRUCTURA DE SALUD,196,193
CUBSO,7215310200338640,CONSTRUCCION DE COMPLEJO DEPORTIVO,195,188
CUBSO,8010160400225861,CONSULTORIA PARA ELABORACION DE PERFIL DE PROYECTO DE INVERSION PUBLICA,195,162
CUBSO,7212110200339377,SERVICIO DE FABRICACION DE TECHO DE ESTRUCTURA METALICA,191,181
CUBSO,7212120300233011,CONSTRUCCION DE SISTEMA DE RIEGO,188,187
CUBSO,9210180500369479,SERVICIO DE PATROCINIO LEGAL EN PROCESOS JUDICIALES,185,183
CUBSO,8110150800337178,SUPERVISION DE OBRA DE CONSTRUCCION DE CENTROS EDUCATIVOS,181,177
CUBSO,1510150500146101,DIESEL B5,172,165
CUBSO,8110151000349110,SUPERVISION DE OBRA DE CONSTRUCCION DE CAMINOS VECINALES,172,169
