var_x,var_y,pearson
monto_adjudicado,monto_final,1.0
monto_referencial,monto_contratado,0.99
monto_referencial,monto_adjudicado,0.9819
monto_referencial,monto_final,0.9819
monto_adjudicado,monto_contratado,0.981
monto_contratado,monto_final,0.981
n_adjudicaciones,n_contratos,0.6555
n_adjudicaciones,n_items,0.5333
n_contratos,n_items,0.4356
n_adjudicaciones,ratio_adjudicado,0.154
n_postores,n_adjudicaciones,0.1232
monto_adjudicado,n_postores,0.1137
monto_final,n_postores,0.1137
monto_referencial,n_postores,0.1115
monto_contratado,n_postores,0.101
n_postores,n_contratos,0.0708
monto_referencial,n_contratos,0.059
monto_final,n_contratos,0.0456
monto_adjudicado,n_contratos,0.0456
monto_referencial,n_adjudicaciones,0.0448
monto_adjudicado,n_adjudicaciones,0.0439
monto_final,n_adjudicaciones,0.0439
monto_contratado,n_contratos,0.0368
n_postores,n_items,0.0366
monto_contratado,n_adjudicaciones,0.0282
monto_referencial,n_items,0.0256
n_contratos,ratio_adjudicado,0.0236
n_postores,ratio_adjudicado,-0.0233
monto_final,n_items,0.0184
monto_adjudicado,n_items,0.0184
ratio_adjudicado,n_items,0.0182
monto_adjudicado,ratio_adjudicado,0.0164
monto_final,ratio_adjudicado,0.0164
monto_contratado,n_items,0.0141
monto_contratado,ratio_adjudicado,0.0083
n_postores,dias_convocatoria,-0.0035
monto_referencial,ratio_adjudicado,0.0013
n_adjudicaciones,dias_convocatoria,-0.0007
monto_referencial,dias_convocatoria,-0.0005
monto_adjudicado,dias_convocatoria,-0.0005
monto_contratado,dias_convocatoria,-0.0005
monto_final,dias_convocatoria,-0.0005
n_contratos,dias_convocatoria,-0.0004
dias_convocatoria,n_items,-0.0004
dias_convocatoria,ratio_adjudicado,0.0003
