metodo_detalle,periodo,n,pct_postor_unico
ADJUDICACIÓN ABREVIADA,2025-01,18,83.33
ADJUDICACIÓN SELECTIVA,2025-01,2,50.0
ADJUDICACIÓN SIMPLIFICADA,2025-01,564,1.77
ADJUDICACIÓN SIMPLIFICADA-HOMOLOGACIÓN,2025-01,1,100.0
COMPARACIÓN DE PRECIOS,2025-01,74,0.0
CONCURSO PÚBLICO,2025-01,54,0.0
CONTRATACIÓN DIRECTA,2025-01,58,81.03
CONTRATACIÓN INTERNACIONAL,2025-01,1,100.0
CONVENIO,2025-01,82,70.73
LICITACIÓN PÚBLICA,2025-01,50,0.0
PROCEDIMIENTO ESPECIAL DE CONTRATACIÓN,2025-01,1,0.0
REGÍMEN ESPECIAL,2025-01,4,25.0
SUBASTA INVERSA ELECTRÓNICA,2025-01,204,1.47
ADJUDICACIÓN ABREVIADA,2025-02,16,87.5
ADJUDICACIÓN SELECTIVA,2025-02,16,18.75
ADJUDICACIÓN SIMPLIFICADA,2025-02,2153,1.86
ADJUDICACIÓN SIMPLIFICADA-HOMOLOGACIÓN,2025-02,27,0.0
COMPARACIÓN DE PRECIOS,2025-02,323,2.79
CONCURSO PÚBLICO,2025-02,188,0.0
CONTRATACIÓN DIRECTA,2025-02,161,86.96
CONTRATACIÓN INTERNACIONAL,2025-02,5,100.0
CONVENIO,2025-02,104,56.73
LICITACIÓN PÚBLICA,2025-02,174,0.0
PROCEDIMIENTO ESPECIAL DE CONTRATACIÓN,2025-02,5,0.0
PROCEDIMIENTO ESPECIAL DE CONTRATACIÓN-NUEVA CONVOCATORIA POR DESIERTO,2025-02,6,0.0
REGÍMEN ESPECIAL,2025-02,401,98.5
SUBASTA INVERSA ELECTRÓNICA,2025-02,942,1.59
ADJUDICACIÓN ABREVIADA,2025-03,16,100.0
ADJUDICACIÓN SELECTIVA,2025-03,21,14.29
ADJUDICACIÓN SIMPLIFICADA,2025-03,3943,1.29
ADJUDICACIÓN SIMPLIFICADA-HOMOLOGACIÓN,2025-03,64,1.56
COMPARACIÓN DE PRECIOS,2025-03,461,0.22
CONCURSO PÚBLICO,2025-03,271,0.74
CONTRATACIÓN DIRECTA,2025-03,295,89.15
CONTRATACIÓN INTERNACIONAL,2025-03,26,96.15
CONVENIO,2025-03,105,47.62
LICITACIÓN PÚBLICA,2025-03,268,0.0
PROCEDIMIENTO ESPECIAL DE CONTRATACIÓN,2025-03,6,0.0
PROCEDIMIENTO ESPECIAL DE CONTRATACIÓN-NUEVA CONVOCATORIA POR DESIERTO,2025-03,5,0.0
REGÍMEN ESPECIAL,2025-03,491,96.95
SUBASTA INVERSA ELECTRÓNICA,2025-03,1159,1.47
ADJUDICACIÓN ABREVIADA,2025-04,35,100.0
ADJUDICACIÓN PARA CONTRATO MARCO,2025-04,1,0.0
ADJUDICACIÓN SELECTIVA,2025-04,40,10.0
ADJUDICACIÓN SIMPLIFICADA,2025-04,5075,1.28
ADJUDICACIÓN SIMPLIFICADA-HOMOLOGACIÓN,2025-04,59,1.69
COMPARACIÓN DE PRECIOS,2025-04,343,2.04
CONCURSO PÚBLICO,2025-04,555,0.36
CONCURSO PÚBLICO ABREVIADO,2025-04,80,0.0
CONCURSO PÚBLICO ABREVIADO SÉPTIMA DCF LEY N°32069,2025-04,1,0.0
CONCURSO PÚBLICO DE SERVICIOS,2025-04,22,0.0
CONCURSO PÚBLICO PARA CONSULTORÍA,2025-04,1,0.0
CONTRATACIÓN DIRECTA,2025-04,416,89.18
CONTRATACIÓN INTERNACIONAL,2025-04,21,100.0
CONVENIO,2025-04,84,51.19
LICITACIÓN PÚBLICA,2025-04,506,0.0
